Preis,Schlafzimmer,Bäder,Größe,erbaut,Kriminalität,Schulen
324900,2,3,1109,1981,2,2.6
400000,3,2,1415,1951,1,3.6
449900,4,2,1121,1954,2,2.3
415000,3,3,1136,1990,2,3
399000,3,2,1066,1959,1,2.5
466000,3,1,1203,1926,3,3
399000,3,2,1320,1987,3,3.3
475000,4,2,1652,1955,1,4.5
405000,3,2,1529,1951,1,2
529000,4,4,2600,2019,2,3
499900,4,2,1086,1954,2,2.3
549000,3,2,1320,1947,2,2.6
399000,2,1,1146,1948,2,2
399900,2,1,1216,1941,1,2.6
599999,4,3,2700,1951,1,2.6
322000,2,1,838,1921,2,2
414990,3,2,1440,1989,1,4
475000,3,2,1438,1952,2,3.6
350000,2,1,1097,1940,3,3.6
320000,2,1,767,1951,1,3.6
420000,2,1,936,1938,2,2.6
460000,2,1,887,1925,2,2.6
429000,3,1,1181,1938,1,3
465645,4,2,1392,1947,2,2.6
424800,2,1,876,1947,1,3.6
474500,3,2,980,1958,2,3.3
485000,3,2,1440,1952,1,2.5
399000,3,1,1006,1960,2,3.3
390000,2,1,1001,1936,4,3
